round,race,constructorName,points
1,Austrian,Mercedes,25.0
1,Austrian,Ferrari,18.0
1,Austrian,McLaren,16.0
1,Austrian,Mercedes,12.0
1,Austrian,McLaren,10.0
1,Austrian,Racing Point,8.0
1,Austrian,AlphaTauri,6.0
1,Austrian,Renault,4.0
1,Austrian,Alfa Romeo,2.0
1,Austrian,Ferrari,1.0
1,Austrian,Williams,0.0
1,Austrian,AlphaTauri,0.0
1,Austrian,Red Bull,0.0
1,Austrian,Alfa Romeo,0.0
1,Austrian,Williams,0.0
1,Austrian,Haas F1 Team,0.0
1,Austrian,Haas F1 Team,0.0
1,Austrian,Racing Point,0.0
1,Austrian,Renault,0.0
1,Austrian,Red Bull,0.0
2,Styrian,Mercedes,25.0
2,Styrian,Mercedes,18.0
2,Styrian,Red Bull,15.0
2,Styrian,Red Bull,12.0
2,Styrian,McLaren,10.0
2,Styrian,Racing Point,8.0
2,Styrian,Racing Point,6.0
2,Styrian,Renault,4.0
2,Styrian,McLaren,3.0
2,Styrian,AlphaTauri,1.0
2,Styrian,Alfa Romeo,0.0
2,Styrian,Haas F1 Team,0.0
2,Styrian,Haas F1 Team,0.0
2,Styrian,Alfa Romeo,0.0
2,Styrian,AlphaTauri,0.0
2,Styrian,Williams,0.0
2,Styrian,Williams,0.0
2,Styrian,Renault,0.0
2,Styrian,Ferrari,0.0
2,Styrian,Ferrari,0.0
3,Hungarian,Mercedes,26.0
3,Hungarian,Red Bull,18.0
3,Hungarian,Mercedes,15.0
3,Hungarian,Racing Point,12.0
3,Hungarian,Red Bull,10.0
3,Hungarian,Ferrari,8.0
3,Hungarian,Racing Point,6.0
3,Hungarian,Renault,4.0
3,Hungarian,McLaren,2.0
3,Hungarian,Haas F1 Team,1.0
3,Hungarian,Ferrari,0.0
3,Hungarian,AlphaTauri,0.0
3,Hungarian,McLaren,0.0
3,Hungarian,Renault,0.0
3,Hungarian,Alfa Romeo,0.0
3,Hungarian,Haas F1 Team,0.0
3,Hungarian,Alfa Romeo,0.0
3,Hungarian,Williams,0.0
3,Hungarian,Williams,0.0
3,Hungarian,AlphaTauri,0.0
4,British,Mercedes,25.0
4,British,Red Bull,19.0
4,British,Ferrari,15.0
4,British,Renault,12.0
4,British,McLaren,10.0
4,British,Renault,8.0
4,British,AlphaTauri,6.0
4,British,Red Bull,4.0
4,British,Racing Point,2.0
4,British,Ferrari,1.0
4,British,Mercedes,0.0
4,British,Williams,0.0
4,British,McLaren,0.0
4,British,Alfa Romeo,0.0
4,British,Williams,0.0
4,British,Haas F1 Team,0.0
4,British,Alfa Romeo,0.0
4,British,AlphaTauri,0.0
4,British,Haas F1 Team,0.0
4,British,Racing Point,0.0
5,70th Anniversary,Red Bull,25.0
5,70th Anniversary,Mercedes,19.0
5,70th Anniversary,Mercedes,15.0
5,70th Anniversary,Ferrari,12.0
5,70th Anniversary,Red Bull,10.0
5,70th Anniversary,Racing Point,8.0
5,70th Anniversary,Racing Point,6.0
5,70th Anniversary,Renault,4.0
5,70th Anniversary,McLaren,2.0
5,70th Anniversary,AlphaTauri,1.0
5,70th Anniversary,AlphaTauri,0.0
5,70th Anniversary,Ferrari,0.0
