round,race,driverCode,points
5,Spanish,RUS,0.0
5,Spanish,KUB,0.0
5,Spanish,STR,0.0
5,Spanish,NOR,0.0
6,Monaco,HAM,25.0
6,Monaco,VET,18.0
6,Monaco,BOT,15.0
6,Monaco,VER,12.0
6,Monaco,GAS,11.0
6,Monaco,SAI,8.0
6,Monaco,KVY,6.0
6,Monaco,ALB,4.0
6,Monaco,RIC,2.0
6,Monaco,GRO,1.0
6,Monaco,NOR,0.0
6,Monaco,PER,0.0
6,Monaco,HUL,0.0
6,Monaco,MAG,0.0
6,Monaco,RUS,0.0
6,Monaco,STR,0.0
6,Monaco,RAI,0.0
6,Monaco,KUB,0.0
6,Monaco,GIO,0.0
6,Monaco,LEC,0.0
7,Canadian,HAM,25.0
7,Canadian,VET,18.0
7,Canadian,LEC,15.0
7,Canadian,BOT,13.0
7,Canadian,VER,10.0
7,Canadian,RIC,8.0
7,Canadian,HUL,6.0
7,Canadian,GAS,4.0
7,Canadian,STR,2.0
7,Canadian,KVY,1.0
7,Canadian,SAI,0.0
7,Canadian,PER,0.0
7,Canadian,GIO,0.0
7,Canadian,GRO,0.0
7,Canadian,RAI,0.0
7,Canadian,RUS,0.0
7,Canadian,MAG,0.0
7,Canadian,KUB,0.0
7,Canadian,ALB,0.0
7,Canadian,NOR,0.0
8,French,HAM,25.0
8,French,BOT,18.0
8,French,LEC,15.0
8,French,VER,12.0
8,French,VET,11.0
8,French,SAI,8.0
8,French,RAI,6.0
8,French,HUL,4.0
8,French,NOR,2.0
8,French,GAS,1.0
8,French,RIC,0.0
8,French,PER,0.0
8,French,STR,0.0
8,French,KVY,0.0
8,French,ALB,0.0
8,French,GIO,0.0
8,French,MAG,0.0
8,French,KUB,0.0
8,French,RUS,0.0
8,French,GRO,0.0
9,Austrian,VER,26.0
9,Austrian,LEC,18.0
9,Austrian,BOT,15.0
9,Austrian,VET,12.0
9,Austrian,HAM,10.0
9,Austrian,NOR,8.0
9,Austrian,GAS,6.0
9,Austrian,SAI,4.0
9,Austrian,RAI,2.0
9,Austrian,GIO,1.0
9,Austrian,PER,0.0
9,Austrian,RIC,0.0
9,Austrian,HUL,0.0
9,Austrian,STR,0.0
9,Austrian,ALB,0.0
9,Austrian,GRO,0.0
9,Austrian,KVY,0.0
9,Austrian,RUS,0.0
9,Austrian,MAG,0.0
9,Austrian,KUB,0.0
10,British,HAM,26.0
10,British,BOT,18.0
10,British,LEC,15.0
10,British,GAS,12.0
10,British,VER,10.0
10,British,SAI,8.0
10,British,RIC,6.0
10,British,RAI,4.0
10,British,KVY,2.0
10,British,HUL,1.0
10,British,NOR,0.0
10,British,ALB,0.0
10,British,STR,0.0
10,British,RUS,0.0
10,British,KUB,0.0
10,British,VET,0.0
10,British,PER,0.0
10,British,GIO,0.0
10,British,GRO,0.0
10,British,MAG,0.0
11,German,VER,26.0
11,German,VET,18.0
11,German,KVY,15.0
11,German,STR,12.0
11,German,SAI,10.0
11,German,ALB,8.0
11,German,GRO,6.0
11,German,MAG,4.0
11,German,HAM,2.0
11,German,KUB,1.0
11,German,RUS,0.0
11,German,RAI,0.0
11,German,GIO,0.0
11,German,GAS,0.0
11,German,BOT,0.0
11,German,HUL,0.0
11,German,LEC,0.0
11,German,NOR,0.0
11,German,RIC,0.0
11,German,PER,0.0
12,Hungarian,HAM,25.0
12,Hungarian,VER,19.0
12,Hungarian,VET,15.0
12,Hungarian,LEC,12.0
12,Hungarian,SAI,10.0
12,Hungarian,GAS,8.0
12,Hungarian,RAI,6.0
12,Hungarian,BOT,4.0
12,Hungarian,NOR,2.0
12,Hungarian,ALB,1.0
12,Hungarian,PER,0.0
12,Hungarian,HUL,0.0
12,Hungarian,MAG,0.0
12,Hungarian,RIC,0.0
12,Hungarian,KVY,0.0
12,Hungarian,RUS,0.0
12,Hungarian,STR,0.0
12,Hungarian,GIO,0.0
12,Hungarian,KUB,0.0
12,Hungarian,GRO,0.0
13,Belgian,LEC,25.0
13,Belgian,HAM,18.0
13,Belgian,BOT,15.0
13,Belgian,VET,13.0
13,Belgian,ALB,10.0
13,Belgian,PER,8.0
13,Belgian,KVY,6.0
13,Belgian,HUL,4.0
13,Belgian,GAS,2.0
13,Belgian,STR,1.0
13,Belgian,NOR,0.0
13,Belgian,MAG,0.0
13,Belgian,GRO,0.0
13,Belgian,RIC,0.0
13,Belgian,RUS,0.0
13,Belgian,RAI,0.0
13,Belgian,KUB,0.0
13,Belgian,GIO,0.0
13,Belgian,SAI,0.0
13,Belgian,VER,0.0
14,Italian,LEC,25.0
14,Italian,BOT,18.0
14,Italian,HAM,16.0
14,Italian,RIC,12.0
14,Italian,HUL,10.0
14,Italian,ALB,8.0
14,Italian,PER,6.0
14,Italian,VER,4.0
14,Italian,GIO,2.0
14,Italian,NOR,1.0
14,Italian,GAS,0.0
14,Italian,STR,0.0
14,Italian,VET,0.0
14,Italian,RUS,0.0
14,Italian,RAI,0.0
14,Italian,GRO,0.0
14,Italian,KUB,0.0
14,Italian,MAG,0.0
14,Italian,KVY,0.0
14,Italian,SAI,0.0
15,Singapore,VET,25.0
15,Singapore,LEC,18.0
15,Singapore,VER,15.0
15,Singapore,HAM,12.0
15,Singapore,BOT,10.0
15,Singapore,ALB,8.0
15,Singapore,NOR,6.0
15,Singapore,GAS,4.0
15,Singapore,HUL,2.0
15,Singapore,GIO,1.0
15,Singapore,GRO,0.0
15,Singapore,SAI,0.0
15,Singapore,STR,0.0
15,Singapore,RIC,0.0
15,Singapore,KVY,0.0
15,Singapore,KUB,0.0
15,Singapore,MAG,0.0
15,Singapore,RAI,0.0
15,Singapore,PER,0.0
15,Singapore,RUS,0.0
16,Russian,HAM,26.0
16,Russian,BOT,18.0
16,Russian,LEC,15.0
16,Russian,VER,12.0
16,Russian,ALB,10.0
16,Russian,SAI,8.0
16,Russian,PER,6.0
16,Russian,NOR,4.0
16,Russian,MAG,2.0
16,Russian,HUL,1.0
16,Russian,STR,0.0
16,Russian,KVY,0.0
16,Russian,RAI,0.0
16,Russian,GAS,0.0
16,Russian,GIO,0.0
