round,race,driverCode,points
1,Bahrain,LEC,26.0
1,Bahrain,SAI,18.0
1,Bahrain,HAM,15.0
1,Bahrain,RUS,12.0
1,Bahrain,MAG,10.0
1,Bahrain,BOT,8.0
1,Bahrain,OCO,6.0
1,Bahrain,TSU,4.0
1,Bahrain,ALO,2.0
1,Bahrain,ZHO,1.0
1,Bahrain,MSC,0.0
1,Bahrain,STR,0.0
1,Bahrain,ALB,0.0
1,Bahrain,RIC,0.0
1,Bahrain,NOR,0.0
1,Bahrain,LAT,0.0
1,Bahrain,HUL,0.0
1,Bahrain,PER,0.0
1,Bahrain,VER,0.0
1,Bahrain,GAS,0.0
2,Saudi Arabian,VER,25.0
2,Saudi Arabian,LEC,19.0
2,Saudi Arabian,SAI,15.0
2,Saudi Arabian,PER,12.0
2,Saudi Arabian,RUS,10.0
2,Saudi Arabian,OCO,8.0
2,Saudi Arabian,NOR,6.0
2,Saudi Arabian,GAS,4.0
2,Saudi Arabian,MAG,2.0
2,Saudi Arabian,HAM,1.0
2,Saudi Arabian,ZHO,0.0
2,Saudi Arabian,HUL,0.0
2,Saudi Arabian,STR,0.0
2,Saudi Arabian,ALB,0.0
2,Saudi Arabian,BOT,0.0
2,Saudi Arabian,ALO,0.0
2,Saudi Arabian,RIC,0.0
2,Saudi Arabian,LAT,0.0
2,Saudi Arabian,TSU,0.0
2,Saudi Arabian,MSC,0.0
3,Australian,LEC,26.0
3,Australian,PER,18.0
3,Australian,RUS,15.0
3,Australian,HAM,12.0
3,Australian,NOR,10.0
3,Australian,RIC,8.0
3,Australian,OCO,6.0
3,Australian,BOT,4.0
3,Australian,GAS,2.0
3,Australian,ALB,1.0
3,Australian,ZHO,0.0
3,Australian,STR,0.0
3,Australian,MSC,0.0
3,Australian,MAG,0.0
3,Australian,TSU,0.0
3,Australian,LAT,0.0
3,Australian,ALO,0.0
3,Australian,VER,0.0
3,Australian,VET,0.0
3,Australian,SAI,0.0
4,Emilia Romagna,VER,34.0
4,Emilia Romagna,PER,24.0
4,Emilia Romagna,NOR,19.0
4,Emilia Romagna,RUS,12.0
4,Emilia Romagna,BOT,12.0
4,Emilia Romagna,LEC,15.0
4,Emilia Romagna,TSU,6.0
4,Emilia Romagna,VET,4.0
4,Emilia Romagna,MAG,3.0
4,Emilia Romagna,STR,1.0
4,Emilia Romagna,ALB,0.0
4,Emilia Romagna,GAS,0.0
4,Emilia Romagna,HAM,0.0
4,Emilia Romagna,OCO,0.0
4,Emilia Romagna,ZHO,0.0
4,Emilia Romagna,LAT,0.0
4,Emilia Romagna,MSC,0.0
4,Emilia Romagna,RIC,3.0
4,Emilia Romagna,ALO,0.0
4,Emilia Romagna,SAI,5.0
5,Miami,VER,26.0
5,Miami,LEC,18.0
5,Miami,SAI,15.0
5,Miami,PER,12.0
